,Acronym,RosterID,Interceptions,InterceptionsYards,InterceptionTDs,PassDefended,ForcedFumbles,FumblesRecovered,FumbleYards,FumbleTDs,Sacks,CombinedTackles,SoloTackles,AssistedTackles,TacklesForLoss,QbHits,Safeties
0,sfo,sfo53TyrellAdams,,,,,,,,,,,,,,,
1,sfo,sfo11BrandonAiyuk,,,,,0.0,2.0,-4.0,0.0,0.0,,,,,,
2,sfo,sfo51AzeezAl-Shaair,1.0,24.0,0.0,5.0,1.0,2.0,12.0,0.0,2.0,102.0,58.0,44.0,9.0,2.0,
3,sfo,sfo91ArikArmstead,,,,,,,,,6.0,63.0,29.0,34.0,7.0,11.0,
4,sfo,sfo62AaronBanks,,,,,,,,,,,,,,,
5,sfo,sfo17TravisBenjamin,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
6,sfo,sfo97NickBosa,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,15.5,52.0,40.0,12.0,21.0,32.0,
7,sfo,sfo64JakeBrendel,,,,,,,,,,,,,,,
8,sfo,sfo60DanielBrunskill,,,,,,,,,0.0,2.0,2.0,0.0,0.0,0.0,
9,sfo,sfo40TrentonCannon,,,,,0.0,0.0,2.0,0.0,0.0,8.0,7.0,1.0,0.0,0.0,
10,sfo,sfo66TomCompton,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
11,sfo,sfo13RiverCracraft,,,,,,,,,,,,,,,
12,sfo,sfo43DarquezeDennard,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
13,sfo,sfo82RossDwelley,,,,,,,,,,,,,,,
14,sfo,sfo56SamsonEbukam,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.5,38.0,21.0,17.0,5.0,11.0,
15,sfo,sfo45DemetriusFlannigan-Fowles,,,,,,,,,0.0,29.0,13.0,16.0,0.0,0.0,
16,sfo,sfo55DeeFord,,,,,1.0,0.0,0.0,0.0,3.0,5.0,3.0,2.0,2.0,4.0,
17,sfo,sfo10JimmyGaroppolo,,,,,0.0,3.0,12.0,0.0,0.0,,,,,,
18,sfo,sfo90KevinGivens,,,,,1.0,0.0,0.0,0.0,0.0,17.0,7.0,10.0,1.0,2.0,
19,sfo,sfo09RobbieGould,,,,,,,,,,,,,,,
20,sfo,sfo57DreGreenlaw,1.0,39.0,1.0,1.0,,,,,0.0,21.0,10.0,11.0,0.0,1.0,
21,sfo,sfo26DavontaeHarris,,,,,,,,,,,,,,,
22,sfo,sfo36MarcellHarris,1.0,2.0,0.0,1.0,,,,,1.0,44.0,24.0,20.0,2.0,1.0,
23,sfo,sfo23JamycalHasty,,,,,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,
24,sfo,sfo35BrianHill,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,
25,sfo,sfo84TannerHudson,,,,,,,,,,,,,,,
26,sfo,sfo29TalanoaHufanga,0.0,0.0,0.0,2.0,,,,,0.0,32.0,24.0,8.0,1.0,1.0,
27,sfo,sfo96MauriceHurst,,,,,,,,,0.0,2.0,2.0,0.0,1.0,0.0,
28,sfo,sfo25TonyJefferson,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,
29,sfo,sfo15JauanJennings,,,,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
30,sfo,sfo27DontaeJohnson,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,30.0,20.0,10.0,0.0,0.0,
31,sfo,sfo48KerryonJohnson,,,,,,,,,,,,,,,
32,sfo,sfo93D.J.Jones,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,56.0,40.0,16.0,10.0,3.0,
33,sfo,sfo44KyleJuszczyk,,,,,,,,,0.0,3.0,1.0,2.0,0.0,0.0,
34,sfo,sfo92ZachKerr,,,,,,,,,,,,,,,
35,sfo,sfo98ArdenKey,0.0,0.0,0.0,1.0,,,,,6.5,22.0,11.0,11.0,5.0,17.0,
36,sfo,sfo99JavonKinlaw,,,,,,,,,0.0,8.0,1.0,7.0,0.0,1.0,
37,sfo,sfo13DreKirkpatrick,,,,,,,,,,,,,,,
38,sfo,sfo85GeorgeKittle,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
39,sfo,sfo05TreyLance,,,,,,,,,,,,,,,
40,sfo,sfo38DeommodoreLenoir,0.0,0.0,0.0,2.0,,,,,0.0,17.0,12.0,5.0,1.0,0.0,
41,sfo,sfo50AlexMack,,,,,0.0,1.0,0.0,0.0,0.0,,,,,,
42,sfo,sfo59JustinMarch,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
43,sfo,sfo88JordanMatthews,,,,,,,,,,,,,,,
44,sfo,sfo69MikeMcGlinchey,,,,,,,,,,,,,,,
45,sfo,sfo68ColtonMcKivitz,,,,,,,,,,,,,,,
46,sfo,sfo25ElijahMitchell,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,
47,sfo,sfo76JaylonMoore,,,,,,,,,,,,,,,
48,sfo,sfo04EmmanuelMoseley,1.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,42.0,33.0,9.0,2.0,0.0,
49,sfo,sfo31RaheemMostert,,,,,,,,,,,,,,,
50,sfo,sfo43KaiNacua,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
51,sfo,sfo26JoshNorman,,,,,,,,,,,,,,,
52,sfo,sfo53MarkNzeocha,,,,,,,,,,,,,,,
53,sfo,sfo92CharlesOmenihu,,,,,,,,,,,,,,,
54,sfo,sfo31JacquesPatrick,,,,,,,,,,,,,,,
55,sfo,sfo46TayborPepper,,,,,,,,,,,,,,,
56,sfo,sfo59CurtisRobinson,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
57,sfo,sfo19DeeboSamuel,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
58,sfo,sfo18MohamedSanu,,,,,,,,,,,,,,,
59,sfo,sfo28TreySermon,,,,,,,,,0.0,2.0,1.0,1.0,0.0,0.0,
60,sfo,sfo81TrentSherfield,,,,,0.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,
61,sfo,sfo41BusterSkrine,,,,,,,,,,,,,,,
62,sfo,sfo14JoeySlye,,,,,,,,,,,,,,,
63,sfo,sfo47SaivionSmith,,,,,,,,,,,,,,,
64,sfo,sfo95KentaviusStreet,,,,,1.0,0.0,0.0,0.0,3.0,27.0,15.0,12.0,6.0,5.0,
65,sfo,sfo26JaquiskiTartt,,,,,,,,,,,,,,,
66,sfo,sfo20AmbryThomas,1.0,0.0,0.0,5.0,,,,,0.0,23.0,17.0,6.0,1.0,0.0,
67,sfo,sfo75LakenTomlinson,,,,,,,,,,,,,,,
68,sfo,sfo02JasonVerrett,,,,,,,,,0.0,5.0,3.0,2.0,0.0,0.0,
69,sfo,sfo01JimmieWard,2.0,27.0,1.0,6.0,,,,,0.0,77.0,51.0,26.0,1.0,0.0,
70,sfo,sfo54FredWarner,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.5,137.0,79.0,58.0,7.0,3.0,
71,sfo,sfo24K'WaunWilliams,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,52.0,40.0,12.0,5.0,2.0,
72,sfo,sfo71TrentWilliams,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,
73,sfo,sfo94JordanWillis,,,,,1.0,0.0,0.0,0.0,3.0,15.0,6.0,9.0,2.0,5.0,
74,sfo,sfo30JarrodWilson,,,,,,,,,0.0,3.0,2.0,1.0,0.0,0.0,
75,sfo,sfo22JeffWilson,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
76,sfo,sfo32TavonWilson,0.0,0.0,0.0,1.0,,,,,0.0,10.0,6.0,4.0,0.0,0.0,
77,sfo,sfo18MitchWishnowsky,,,,,,,,,,,,,,,
78,sfo,sfo89CharlieWoerner,,,,,,,,,0.0,7.0,6.0,1.0,0.0,0.0,
79,chi,sfo53TyrellAdams,,,,,,,,,,,,,,,
80,chi,sfo11BrandonAiyuk,,,,,,,,,0.0,4.0,4.0,0.0,0.0,0.0,
81,chi,sfo51AzeezAl-Shaair,,,,,,,,,,,,,,,
82,chi,sfo91ArikArmstead,,,,,,,,,0.5,22.0,14.0,8.0,1.0,1.0,
83,chi,sfo62AaronBanks,,,,,,,,,,,,,,,
84,chi,sfo17TravisBenjamin,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
