,RosterID,No.,Acronym,Name,Position,GamesPlayed,GamesStarted,Weight,Height,College,BirthDate,Years,Age,AV
0,sfo53TyrellAdams,53,sfo,Tyrell Adams,LB,5.0,0.0,230.0,6-2,West Georgia,4/11/1992,5,29.0,0.0
1,sfo11BrandonAiyuk,11,sfo,Brandon Aiyuk,WR,17.0,16.0,200.0,6-0,Arizona St.,3/17/1998,1,23.0,7.0
2,sfo51AzeezAl-Shaair,51,sfo,Azeez Al-Shaair,LB,13.0,13.0,228.0,6-2,Florida Atlantic,8/4/1997,2,24.0,7.0
3,sfo91ArikArmstead,91,sfo,Arik Armstead,DE,17.0,17.0,290.0,6-7,Oregon,11/15/1993,6,28.0,8.0
4,sfo62AaronBanks,62,sfo,Aaron Banks,G,9.0,0.0,325.0,6-5,Notre Dame,9/3/1997,0,24.0,1.0
5,sfo17TravisBenjamin,17,sfo,Travis Benjamin,WR,10.0,0.0,175.0,5-10,Miami (FL),12/29/1989,9,32.0,0.0
6,sfo97NickBosa,97,sfo,Nick Bosa,EDGE,17.0,17.0,266.0,6-4,Ohio St.,10/23/1997,2,24.0,12.0
7,sfo64JakeBrendel,64,sfo,Jake Brendel,C,16.0,0.0,299.0,6-4,UCLA,9/10/1992,5,29.0,1.0
8,sfo60DanielBrunskill,60,sfo,Daniel Brunskill,OT,17.0,17.0,300.0,6-5,San Diego St.,1/27/1994,3,27.0,7.0
9,sfo40TrentonCannon,40,sfo,Trenton Cannon,RB,11.0,0.0,185.0,5-11,Virginia St.,7/23/1994,3,27.0,0.0
10,sfo66TomCompton,66,sfo,Tom Compton,T,17.0,7.0,315.0,6-6,South Dakota,5/10/1989,9,32.0,4.0
11,sfo13RiverCracraft,13,sfo,River Cracraft,WR,6.0,0.0,198.0,6-0,Washington St.,11/1/1994,3,27.0,0.0
12,sfo43DarquezeDennard,43,sfo,Darqueze Dennard,CB,1.0,0.0,205.0,5-11,Michigan St.,10/10/1991,7,30.0,0.0
13,sfo82RossDwelley,82,sfo,Ross Dwelley,TE,17.0,2.0,235.0,6-5,San Diego,1/26/1995,3,26.0,0.0
14,sfo56SamsonEbukam,56,sfo,Samson Ebukam,OLB,17.0,11.0,245.0,6-3,East. Washington,5/9/1995,4,26.0,6.0
15,sfo45DemetriusFlannigan-Fowles,45,sfo,Demetrius Flannigan-Fowles,DB,17.0,2.0,223.0,6-2,Arizona,9/4/1996,1,25.0,2.0
16,sfo55DeeFord,55,sfo,Dee Ford,DE,6.0,0.0,252.0,6-2,Auburn,3/19/1991,7,30.0,1.0
17,sfo10JimmyGaroppolo,10,sfo,Jimmy Garoppolo,QB,15.0,15.0,225.0,6-2,Eastern Illinois,11/2/1991,7,30.0,12.0
18,sfo90KevinGivens,90,sfo,Kevin Givens,DL,13.0,0.0,285.0,6-1,Penn St.,3/1/1997,2,24.0,1.0
19,sfo09RobbieGould,9,sfo,Robbie Gould,K,13.0,0.0,190.0,6-0,Penn St.,12/6/1982,16,39.0,3.0
20,sfo57DreGreenlaw,57,sfo,Dre Greenlaw,LB,3.0,2.0,230.0,6-0,Arkansas,5/27/1997,2,24.0,2.0
21,sfo26DavontaeHarris,26,sfo,Davontae Harris,CB,1.0,0.0,200.0,5-11,Illinois St.,1/21/1995,3,26.0,0.0
22,sfo36MarcellHarris,36,sfo,Marcell Harris,S,15.0,7.0,215.0,6-0,Florida,6/9/1994,3,27.0,7.0
23,sfo23JamycalHasty,23,sfo,Jamycal Hasty,RB,11.0,0.0,205.0,5-8,Baylor,9/12/1996,1,25.0,2.0
24,sfo35BrianHill,35,sfo,Brian Hill,RB,3.0,0.0,219.0,6-1,Wyoming,11/9/1995,4,26.0,0.0
25,sfo84TannerHudson,84,sfo,Tanner Hudson,TE,2.0,0.0,239.0,6-5,Southern Arkansas,11/12/1994,2,27.0,0.0
26,sfo29TalanoaHufanga,29,sfo,Talanoa Hufanga,S,15.0,3.0,200.0,6-0,USC,2/2/1999,0,22.0,2.0
27,sfo96MauriceHurst,96,sfo,Maurice Hurst Jr.,DT,2.0,0.0,291.0,6-2,Michigan,5/9/1995,3,26.0,0.0
28,sfo25TonyJefferson,25,sfo,Tony Jefferson,FS,2.0,0.0,211.0,5-11,Oklahoma,1/27/1992,8,29.0,0.0
29,sfo15JauanJennings,15,sfo,Jauan Jennings,WR,16.0,1.0,212.0,6-3,Tennessee,7/10/1997,0,24.0,2.0
30,sfo27DontaeJohnson,27,sfo,Dontae Johnson,FS,16.0,3.0,200.0,6-2,North Carolina St.,12/1/1991,7,30.0,2.0
31,sfo48KerryonJohnson,48,sfo,Kerryon Johnson,RB,1.0,0.0,211.0,5-11,Auburn,6/30/1997,3,24.0,0.0
32,sfo93D.J.Jones,93,sfo,D.J. Jones,DT,17.0,17.0,305.0,6-0,"East Mississippi CC,Mississippi",1/19/1995,4,26.0,8.0
33,sfo44KyleJuszczyk,44,sfo,Kyle Juszczyk,FB,17.0,16.0,235.0,6-1,Harvard,4/23/1991,8,30.0,3.0
34,sfo92ZachKerr,92,sfo,Zach Kerr,NT,4.0,0.0,334.0,6-2,Delaware,8/29/1990,7,31.0,0.0
35,sfo98ArdenKey,98,sfo,Arden Key,DE,17.0,0.0,240.0,6-5,LSU,5/3/1996,3,25.0,2.0
36,sfo99JavonKinlaw,99,sfo,Javon Kinlaw,DL,4.0,4.0,319.0,6-5,South Carolina,10/3/1997,1,24.0,2.0
37,sfo13DreKirkpatrick,13,sfo,Dre Kirkpatrick,CB,6.0,1.0,190.0,6-2,Alabama,10/26/1989,9,32.0,1.0
38,sfo85GeorgeKittle,85,sfo,George Kittle,TE,14.0,14.0,250.0,6-4,Iowa,10/9/1993,4,28.0,8.0
39,sfo05TreyLance,5,sfo,Trey Lance,QB,6.0,2.0,224.0,6-4,North Dakota St.,5/9/2000,0,21.0,3.0
40,sfo38DeommodoreLenoir,38,sfo,Deommodore Lenoir,DB,13.0,2.0,200.0,5-10,Oregon,10/6/1999,0,22.0,1.0
41,sfo50AlexMack,50,sfo,Alex Mack,C,17.0,17.0,311.0,6-4,California,11/19/1985,12,36.0,9.0
42,sfo59JustinMarch,59,sfo,Justin March,RILB,1.0,0.0,222.0,6-0,Akron,7/5/1993,5,28.0,0.0
43,sfo88JordanMatthews,88,sfo,Jordan Matthews,WR,1.0,0.0,215.0,6-3,Vanderbilt,7/16/1992,7,29.0,0.0
44,sfo69MikeMcGlinchey,69,sfo,Mike McGlinchey,OT,8.0,8.0,310.0,6-8,Notre Dame,1/12/1995,3,26.0,4.0
45,sfo68ColtonMcKivitz,68,sfo,Colton McKivitz,OL,1.0,1.0,306.0,6-6,West Virginia,8/9/1996,1,25.0,0.0
46,sfo25ElijahMitchell,25,sfo,Elijah Mitchell,RB,11.0,10.0,200.0,5-10,Louisiana,5/2/1998,0,23.0,7.0
47,sfo76JaylonMoore,76,sfo,Jaylon Moore,OL,7.0,3.0,311.0,6-4,Western Michigan,1/9/1998,0,23.0,2.0
48,sfo04EmmanuelMoseley,4,sfo,Emmanuel Moseley,CB,11.0,11.0,190.0,5-11,Tennessee,3/25/1996,3,25.0,4.0
49,sfo31RaheemMostert,31,sfo,Raheem Mostert,RB,1.0,1.0,205.0,5-10,Purdue,4/9/1992,6,29.0,0.0
50,sfo43KaiNacua,43,sfo,Kai Nacua,FS,1.0,0.0,205.0,6-0,BYU,3/3/1995,4,26.0,0.0
51,sfo26JoshNorman,26,sfo,Josh Norman,CB,15.0,14.0,200.0,6-0,Coastal Carolina,12/15/1987,9,34.0,5.0
52,sfo53MarkNzeocha,53,sfo,Mark Nzeocha,OLB,2.0,0.0,240.0,6-3,Wyoming,1/19/1990,6,31.0,0.0
53,sfo92CharlesOmenihu,92,sfo,Charles Omenihu,DL,9.0,0.0,280.0,6-5,Texas,8/20/1997,2,24.0,1.0
54,sfo31JacquesPatrick,31,sfo,Jacques Patrick,RB,2.0,0.0,234.0,6-3,Florida St.,1/7/1997,0,24.0,0.0
55,sfo46TayborPepper,46,sfo,Taybor Pepper,LS,17.0,0.0,245.0,6-4,Michigan St.,5/28/1994,4,27.0,1.0
56,sfo59CurtisRobinson,59,sfo,Curtis Robinson,LB,3.0,0.0,236.0,6-3,Stanford,6/2/1998,0,23.0,0.0
57,sfo19DeeboSamuel,19,sfo,Deebo Samuel,WR,16.0,15.0,215.0,6-0,South Carolina,1/15/1996,2,25.0,14.0
58,sfo18MohamedSanu,18,sfo,Mohamed Sanu,WR,8.0,0.0,210.0,6-2,Rutgers,8/23/1989,9,32.0,2.0
59,sfo28TreySermon,28,sfo,Trey Sermon,RB,9.0,2.0,215.0,6-0,"Oklahoma,Ohio St.",1/30/1999,0,22.0,1.0
60,sfo81TrentSherfield,81,sfo,Trent Sherfield,WR,17.0,1.0,219.0,6-1,Vanderbilt,2/26/1996,3,25.0,1.0
61,sfo41BusterSkrine,41,sfo,Buster Skrine,DB,1.0,0.0,187.0,5-9,Chattanooga,4/26/1989,10,32.0,0.0
62,sfo14JoeySlye,14,sfo,Joey Slye,K,3.0,0.0,213.0,5-11,Virginia Tech,4/10/1996,2,25.0,1.0
63,sfo47SaivionSmith,47,sfo,Saivion Smith,CB,1.0,0.0,200.0,6-1,Alabama,11/5/1997,1,24.0,0.0
64,sfo95KentaviusStreet,95,sfo,Kentavius Street,DT,17.0,2.0,287.0,6-2,North Carolina St.,5/8/1996,3,25.0,2.0
65,sfo26JaquiskiTartt,26,sfo,Jaquiski Tartt,SS,14.0,14.0,215.0,6-1,Samford,2/18/1992,6,29.0,5.0
66,sfo20AmbryThomas,20,sfo,Ambry Thomas,CB,12.0,5.0,190.0,6-0,Michigan,9/9/1999,0,22.0,2.0
67,sfo75LakenTomlinson,75,sfo,Laken Tomlinson,OG,17.0,17.0,315.0,6-3,Duke,2/9/1992,6,29.0,9.0
68,sfo02JasonVerrett,2,sfo,Jason Verrett,CB,1.0,1.0,188.0,5-10,TCU,6/18/1991,7,30.0,0.0
69,sfo01JimmieWard,1,sfo,Jimmie Ward,SS,16.0,16.0,195.0,5-11,Northern Illinois,7/18/1991,7,30.0,6.0
70,sfo54FredWarner,54,sfo,Fred Warner,OLB,16.0,16.0,230.0,6-3,BYU,11/19/1996,3,25.0,8.0
71,sfo24K'WaunWilliams,24,sfo,K'Waun Williams,DB,14.0,8.0,185.0,5-9,Pittsburgh,7/12/1991,7,30.0,3.0
72,sfo71TrentWilliams,71,sfo,Trent Williams,T,15.0,15.0,320.0,6-5,Oklahoma,7/19/1988,11,33.0,14.0
73,sfo94JordanWillis,94,sfo,Jordan Willis,DE,10.0,0.0,270.0,6-4,Kansas St.,5/2/1995,4,26.0,1.0
74,sfo30JarrodWilson,30,sfo,Jarrod Wilson,S,4.0,0.0,209.0,6-1,Michigan,2/9/1994,5,27.0,0.0
75,sfo22JeffWilson,22,sfo,Jeff Wilson,RB,9.0,4.0,194.0,6-0,North Texas,11/16/1995,3,26.0,2.0
76,sfo32TavonWilson,32,sfo,Tavon Wilson,FS,8.0,1.0,208.0,6-0,Illinois,3/19/1990,9,31.0,1.0
77,sfo18MitchWishnowsky,18,sfo,Mitch Wishnowsky,P,17.0,0.0,220.0,6-2,Utah,3/3/1992,2,29.0,1.0
78,sfo89CharlieWoerner,89,sfo,Charlie Woerner,TE,17.0,3.0,241.0,6-5,Georgia,10/16/1997,1,24.0,0.0
79,chi13RodneyAdams,13,chi,Rodney Adams,WR,1.0,0.0,189.0,6-1,South Florida,9/15/1994,4,27.0,0.0
80,chi50JeremiahAttaochu,50,chi,Jeremiah Attaochu,OLB,5.0,0.0,262.0,6-3,Georgia Tech,1/17/1993,7,28.0,0.0
81,chi64AlexBars,64,chi,Alex Bars,T,17.0,3.0,334.0,6-5,Notre Dame,9/8/1995,2,26.0,2.0
82,chi90AngeloBlackson,90,chi,Angelo Blackson,DT,17.0,8.0,315.0,6-4,Auburn,11/14/1992,6,29.0,4.0
83,chi75LarryBorom,75,chi,Larry Borom,OL,10.0,8.0,333.0,6-5,Missouri,3/30/1999,0,22.0,3.0
84,chi25ArtieBurns,25,chi,Artie Burns,CB,11.0,6.0,197.0,6-0,Miami (FL),5/1/1995,5,26.0,2.0
85,chi26DeonBush,26,chi,Deon Bush,FS,14.0,4.0,187.0,6-0,Miami (FL),8/14/1993,5,28.0,2.0
86,chi10DamiereByrd,10,chi,Damiere Byrd,WR,17.0,4.0,175.0,5-9,South Carolina,1/27/1993,5,28.0,3.0
87,chi23MarquiChristian,23,chi,Marqui Christian,SS,17.0,1.0,195.0,5-11,Midwestern St.,10/27/1994,5,27.0,1.0
88,chi19IsaiahCoulter,19,chi,Isaiah Coulter,WR,3.0,0.0,198.0,6-2,Rhode Island,9/18/1998,1,23.0,0.0
89,chi21XavierCrawford,21,chi,Xavier Crawford,CB,13.0,2.0,185.0,5-11,Central Michigan,12/10/1995,2,26.0,1.0
90,chi14AndyDalton,14,chi,Andy Dalton,QB,8.0,6.0,219.0,6-2,TCU,10/29/1987,10,34.0,3.0
91,chi68JamesDaniels,68,chi,James Daniels,C,17.0,17.0,327.0,6-4,Iowa,9/13/1997,3,24.0,6.0
92,chi97MarioEdwards,97,chi,Mario Edwards,DE,12.0,1.0,280.0,6-3,Florida St.,1/25/1994,6,27.0,1.0
93,chi60DieterEiselen,60,chi,Dieter Eiselen,G,2.0,0.0,300.0,6-4,Yale,6/10/1996,1,25.0,0.0
94,chi01JustinFields,1,chi,Justin Fields,QB,12.0,10.0,228.0,6-3,"Georgia,Ohio St.",3/5/1999,0,22.0,6.0
95,chi09NickFoles,9,chi,Nick Foles,QB,1.0,1.0,262.0,6-6,Arizona,1/20/1989,9,32.0,1.0
96,chi38TashaunGipson,38,chi,Tashaun Gipson,DB,12.0,12.0,207.0,6-1,Wyoming,8/7/1990,9,31.0,4.0
97,chi99TrevisGipson,99,chi,Trevis Gipson,DL,16.0,9.0,263.0,6-4,Tulsa,6/13/1997,1,24.0,4.0
98,chi91EddieGoldman,91,chi,Eddie Goldman,DT,14.0,10.0,325.0,6-3,Florida St.,1/6/1994,6,27.0,4.0
99,chi84MarquiseGoodwin,84,chi,Marquise Goodwin,WR,14.0,2.0,180.0,5-9,Texas,11/19/1990,8,31.0,3.0
100,chi80JimmyGraham,80,chi,Jimmy Graham,TE,15.0,6.0,259.0,6-7,Miami (FL),11/24/1986,11,35.0,1.0
101,chi27ThomasGraham,27,chi,Thomas Graham,CB,4.0,1.0,193.0,5-11,Oregon,6/26/1999,0,22.0,0.0
102,chi17JakeemGrant,17,chi,Jakeem Grant,WR,11.0,0.0,171.0,5-7,Texas Tech,10/30/1992,5,29.0,2.0
103,chi24KhalilHerbert,24,chi,Khalil Herbert,RB,17.0,2.0,212.0,5-9,"Kansas,Virginia Tech",4/21/1998,0,23.0,3.0
104,chi96AkiemHicks,96,chi,Akiem Hicks,DE,9.0,9.0,335.0,6-4,Regina,11/16/1989,9,32.0,3.0
105,chi81J.P.Holtz,81,chi,J.P. Holtz,TE,13.0,0.0,246.0,6-3,Pittsburgh,8/28/1993,3,28.0,0.0
106,chi87JesperHorsted,87,chi,Jesper Horsted,WR,7.0,0.0,241.0,6-4,Princeton,2/27/1997,2,24.0,0.0
107,chi36DeAndreHouston-Carson,36,chi,DeAndre Houston-Carson,FS,13.0,3.0,202.0,6-0,William & Mary,4/13/1993,5,28.0,2.0
108,chi93MargusHunt,93,chi,Margus Hunt,DE,10.0,0.0,295.0,6-8,SMU,7/14/1987,8,34.0,1.0
109,chi74GermainIfedi,74,chi,Germain Ifedi,OT,9.0,7.0,344.0,6-5,Texas A&M,6/2/1994,5,27.0,3.0
110,chi46BruceIrvin,46,chi,Bruce Irvin,DE,6.0,1.0,250.0,6-3,"Butler (KS),West Virginia",11/1/1987,9,34.0,1.0
111,chi45JoelIyiegbuniwe,45,chi,Joel Iyiegbuniwe,LB,11.0,0.0,235.0,6-1,Western Kentucky,10/12/1995,3,26.0,1.0
112,chi04EddieJackson,4,chi,Eddie Jackson,SS,14.0,14.0,206.0,6-0,Alabama,12/10/1993,4,28.0,4.0
113,chi18JesseJames,18,chi,Jesse James,TE,14.0,9.0,251.0,6-7,Penn St.,6/4/1994,6,27.0,1.0
114,chi76TevenJenkins,76,chi,Teven Jenkins,T,6.0,2.0,320.0,6-6,Oklahoma St.,3/3/1998,0,23.0,1.0
115,chi92CalebJohnson,92,chi,Caleb Johnson,LB,14.0,0.0,227.0,6-2,Houston Baptist,7/28/1998,0,23.0,1.0
116,chi33JaylonJohnson,33,chi,Jaylon Johnson,CB,15.0,15.0,196.0,6-0,Utah,4/19/1999,1,22.0,5.0
117,chi57ChristianJones,57,chi,Christian Jones,ILB,17.0,1.0,245.0,6-3,Florida St.,2/18/1991,7,30.0,1.0
118,chi31MichaelJoseph,31,chi,Michael Joseph,CB,1.0,0.0,194.0,6-0,Dubuque,3/19/1995,0,26.0,0.0
119,chi46SamKamara,46,chi,Sam Kamara,LB,8.0,0.0,275.0,6-2,Stony Brook,12/21/1997,0,24.0,0.0
120,chi39ThakariusKeyes,39,chi,Thakarius Keyes,CB,1.0,0.0,202.0,6-1,Tulane,11/9/1997,1,24.0,0.0
121,chi85ColeKmet,85,chi,Cole Kmet,TE,17.0,17.0,260.0,6-6,Notre Dame,3/10/1999,1,22.0,5.0
122,chi63LaCaleLondon,63,chi,LaCale London,DT,1.0,0.0,280.0,6-5,Western Illinois,8/5/1997,0,24.0,0.0
123,chi52KhalilMack,52,chi,Khalil Mack,OLB,7.0,7.0,267.0,6-3,Buffalo,2/22/1991,7,30.0,3.0
124,chi43LedariusMack,43,chi,Ledarius Mack,DE,3.0,0.0,240.0,6-1,Buffalo,10/3/1996,0,25.0,0.0
125,chi59CassiusMarsh,59,chi,Cassius Marsh,DE,4.0,0.0,254.0,6-4,UCLA,7/7/1992,7,29.0,0.0
126,chi32DavidMontgomery,32,chi,David Montgomery,RB,13.0,13.0,224.0,5-11,Iowa St.,6/7/1997,2,24.0,6.0
127,chi11DarnellMooney,11,chi,Darnell Mooney,WR,17.0,14.0,173.0,5-11,Tulane,10/29/1997,1,24.0,9.0
128,chi67SamMustipher,67,chi,Sam Mustipher,C,17.0,17.0,332.0,6-2,Notre Dame,8/13/1996,1,25.0,6.0
129,chi35RyanNall,35,chi,Ryan Nall,RB,9.0,0.0,239.0,6-2,Oregon St.,12/27/1995,2,26.0,0.0
130,chi83DazzNewsome,83,chi,Dazz Newsome,WR,3.0,1.0,190.0,5-11,North Carolina,5/15/1999,0,22.0,0.0
131,chi98BilalNichols,98,chi,Bilal Nichols,DT,17.0,15.0,302.0,6-3,Delaware,9/14/1996,3,25.0,6.0
132,chi16PatO'Donnell,16,chi,Pat O'Donnell,P,17.0,0.0,223.0,6-4,Miami (FL),2/22/1991,7,30.0,2.0
133,chi44AlecOgletree,44,chi,Alec Ogletree,OLB,16.0,16.0,250.0,6-3,Georgia,9/25/1991,8,30.0,6.0
134,chi71JasonPeters,71,chi,Jason Peters,T,15.0,15.0,328.0,6-4,Arkansas,1/22/1982,17,39.0,6.0
135,chi31ArtavisPierce,31,chi,Artavis Pierce,RB,1.0,0.0,208.0,5-11,Oregon St.,5/17/1996,1,25.0,0.0
136,chi94RobertQuinn,94,chi,Robert Quinn,DE,16.0,16.0,245.0,6-4,North Carolina,5/18/1990,10,31.0,11.0
137,chi12AllenRobinson,12,chi,Allen Robinson,WR,12.0,11.0,220.0,6-2,Penn St.,8/24/1993,7,28.0,3.0
138,chi02CairoSantos,2,chi,Cairo Santos,K,17.0,0.0,175.0,5-8,Tulane,11/12/1991,7,30.0,3.0
139,chi48PatrickScales,48,chi,Patrick Scales,LS,17.0,0.0,226.0,6-3,Utah St.,2/11/1988,7,33.0,1.0
140,chi20DukeShelley,20,chi,Duke Shelley,CB,10.0,4.0,176.0,5-9,Kansas St.,10/8/1996,2,25.0,1.0
141,chi73LachaviousSimmons,73,chi,Lachavious Simmons,G,2.0,1.0,319.0,6-5,Tennessee St.,9/12/1996,0,25.0,0.0
142,chi58RoquanSmith,58,chi,Roquan Smith,ILB,17.0,17.0,232.0,6-1,Georgia,4/8/1997,3,24.0,11.0
143,chi49CharlesSnowden,49,chi,Charles Snowden,OLB,2.0,0.0,240.0,6-7,Virginia,3/27/1998,0,23.0,0.0
144,chi79DamionSquare,79,chi,Damion Square,DE,1.0,0.0,293.0,6-2,Alabama,2/6/1989,8,32.0,0.0
145,chi37TeezTabor,37,chi,Teez Tabor,CB,6.0,1.0,191.0,6-0,Florida,12/31/1995,4,26.0,1.0
146,chi79AlexTaylor,79,chi,Alex Taylor,T,1.0,0.0,301.0,6-8,South Carolina St.,4/29/1997,1,24.0,0.0
147,chi95KhyirisTonga,95,chi,Khyiris Tonga,DT,15.0,2.0,338.0,6-4,BYU,7/7/1996,0,25.0,2.0
148,chi59DannyTrevathan,59,chi,Danny Trevathan,OLB,5.0,1.0,239.0,6-0,Kentucky,3/24/1990,9,31.0,1.0
149,chi22KindleVildor,22,chi,Kindle Vildor,CB,17.0,12.0,189.0,5-11,Georgia Southern,12/11/1997,1,24.0,4.0
150,chi30DeeVirgin,30,chi,Dee Virgin,CB,2.0,0.0,195.0,5-9,West Alabama,10/29/1993,3,28.0,0.0
151,chi15NsimbaWebster,15,chi,Nsimba Webster,WR,6.0,0.0,180.0,5-10,East. Washington,1/27/1996,2,25.0,0.0
152,chi65CodyWhitehair,65,chi,Cody Whitehair,OG,17.0,17.0,316.0,6-3,Kansas St.,7/11/1992,5,29.0,6.0
153,chi70ElijahWilkinson,70,chi,Elijah Wilkinson,OT,13.0,1.0,322.0,6-6,Massachusetts,2/10/1995,4,26.0,1.0
154,chi08DamienWilliams,8,chi,Damien Williams,RB,12.0,2.0,225.0,5-11,Oklahoma,4/3/1992,7,29.0,2.0
155,chi55JoshWoods,55,chi,Josh Woods,LB,1.0,0.0,236.0,6-1,Maryland,7/1/1996,2,25.0,0.0
156,cin77HakeemAdeniji,77,cin,Hakeem Adeniji,OL,9.0,9.0,300.0,6-5,Kansas,12/8/1997,1,24.0,4.0
157,cin08BrandonAllen,8,cin,Brandon Allen,QB,6.0,1.0,209.0,6-2,Arkansas,9/5/1992,3,29.0,0.0
158,cin37RicardoAllen,37,cin,Ricardo Allen,CB,14.0,1.0,186.0,5-9,Purdue,12/18/1991,7,30.0,1.0
159,cin20EliApple,20,cin,Eli Apple,CB,16.0,15.0,199.0,6-1,Ohio St.,8/9/1995,5,26.0,6.0
