,Acronym,RosterID,AllFGA,AllFMG,TwentyFGA,TwentyFGM,ThirtyFGA,ThirtyFGM,FortyFGA,FortyFGM,FiftyPlusFGA,FiftyPlusFGM,LongestFG,FGPercentage,ExtraPointsAttempted,ExtraPointsMade,KickOffs,KickOffYards,KickOffAvg,Punts,PuntYards,LongestPunt,BlockedPunts
0,sfo,sfo53TyrellAdams,,,,,,,,,,,,,,,,,,,,,
1,sfo,sfo11BrandonAiyuk,,,,,,,,,,,,,,,,,,,,,
2,sfo,sfo51AzeezAl-Shaair,,,,,,,,,,,,,,,,,,,,,
3,sfo,sfo91ArikArmstead,,,,,,,,,,,,,,,,,,,,,
4,sfo,sfo62AaronBanks,,,,,,,,,,,,,,,,,,,,,
5,sfo,sfo17TravisBenjamin,,,,,,,,,,,,,,,,,,,,,
6,sfo,sfo97NickBosa,,,,,,,,,,,,,,,,,,,,,
7,sfo,sfo64JakeBrendel,,,,,,,,,,,,,,,,,,,,,
8,sfo,sfo60DanielBrunskill,,,,,,,,,,,,,,,,,,,,,
9,sfo,sfo40TrentonCannon,,,,,,,,,,,,,,,,,,,,,
10,sfo,sfo66TomCompton,,,,,,,,,,,,,,,,,,,,,
11,sfo,sfo13RiverCracraft,,,,,,,,,,,,,,,,,,,,,
12,sfo,sfo43DarquezeDennard,,,,,,,,,,,,,,,,,,,,,
13,sfo,sfo82RossDwelley,,,,,,,,,,,,,,,,,,,,,
14,sfo,sfo56SamsonEbukam,,,,,,,,,,,,,,,,,,,,,
15,sfo,sfo45DemetriusFlannigan-Fowles,,,,,,,,,,,,,,,,,,,,,
16,sfo,sfo55DeeFord,,,,,,,,,,,,,,,,,,,,,
17,sfo,sfo10JimmyGaroppolo,,,,,,,,,,,,,,,,,,,,,
18,sfo,sfo90KevinGivens,,,,,,,,,,,,,,,,,,,,,
19,sfo,sfo09RobbieGould,23,20.0,6.0,6.0,4.0,4.0,9.0,7.0,4.0,3.0,52.0,87.0%,40,39,19.0,1203.0,63.3,2.0,90.0,47.0,0.0
20,sfo,sfo57DreGreenlaw,,,,,,,,,,,,,,,,,,,,,
21,sfo,sfo26DavontaeHarris,,,,,,,,,,,,,,,,,,,,,
22,sfo,sfo36MarcellHarris,,,,,,,,,,,,,,,,,,,,,
23,sfo,sfo23JamycalHasty,,,,,,,,,,,,,,,,,,,,,
24,sfo,sfo35BrianHill,,,,,,,,,,,,,,,,,,,,,
25,sfo,sfo84TannerHudson,,,,,,,,,,,,,,,,,,,,,
26,sfo,sfo29TalanoaHufanga,,,,,,,,,,,,,,,,,,,,,
27,sfo,sfo96MauriceHurst,,,,,,,,,,,,,,,,,,,,,
28,sfo,sfo25TonyJefferson,,,,,,,,,,,,,,,,,,,,,
29,sfo,sfo15JauanJennings,,,,,,,,,,,,,,,,,,,,,
30,sfo,sfo27DontaeJohnson,,,,,,,,,,,,,,,,,,,,,
31,sfo,sfo48KerryonJohnson,,,,,,,,,,,,,,,,,,,,,
32,sfo,sfo93D.J.Jones,,,,,,,,,,,,,,,,,,,,,
33,sfo,sfo44KyleJuszczyk,,,,,,,,,,,,,,,,,,,,,
34,sfo,sfo92ZachKerr,,,,,,,,,,,,,,,,,,,,,
35,sfo,sfo98ArdenKey,,,,,,,,,,,,,,,,,,,,,
36,sfo,sfo99JavonKinlaw,,,,,,,,,,,,,,,,,,,,,
37,sfo,sfo13DreKirkpatrick,,,,,,,,,,,,,,,,,,,,,
38,sfo,sfo85GeorgeKittle,,,,,,,,,,,,,,,,,,,,,
39,sfo,sfo05TreyLance,,,,,,,,,,,,,,,,,,,,,
40,sfo,sfo38DeommodoreLenoir,,,,,,,,,,,,,,,,,,,,,
41,sfo,sfo50AlexMack,,,,,,,,,,,,,,,,,,,,,
42,sfo,sfo59JustinMarch,,,,,,,,,,,,,,,,,,,,,
43,sfo,sfo88JordanMatthews,,,,,,,,,,,,,,,,,,,,,
44,sfo,sfo69MikeMcGlinchey,,,,,,,,,,,,,,,,,,,,,
45,sfo,sfo68ColtonMcKivitz,,,,,,,,,,,,,,,,,,,,,
46,sfo,sfo25ElijahMitchell,,,,,,,,,,,,,,,,,,,,,
47,sfo,sfo76JaylonMoore,,,,,,,,,,,,,,,,,,,,,
48,sfo,sfo04EmmanuelMoseley,,,,,,,,,,,,,,,,,,,,,
49,sfo,sfo31RaheemMostert,,,,,,,,,,,,,,,,,,,,,
50,sfo,sfo43KaiNacua,,,,,,,,,,,,,,,,,,,,,
51,sfo,sfo26JoshNorman,,,,,,,,,,,,,,,,,,,,,
52,sfo,sfo53MarkNzeocha,,,,,,,,,,,,,,,,,,,,,
53,sfo,sfo92CharlesOmenihu,,,,,,,,,,,,,,,,,,,,,
54,sfo,sfo31JacquesPatrick,,,,,,,,,,,,,,,,,,,,,
55,sfo,sfo46TayborPepper,,,,,,,,,,,,,,,,,,,,,
56,sfo,sfo59CurtisRobinson,,,,,,,,,,,,,,,,,,,,,
57,sfo,sfo19DeeboSamuel,,,,,,,,,,,,,,,,,,,,,
58,sfo,sfo18MohamedSanu,1,,,,,,1.0,,,,0.0,0.0%,2,1,56.0,3487.0,62.3,57.0,2566.0,67.0,0.0
59,sfo,sfo28TreySermon,,,,,,,,,,,,,,,,,,,,,
60,sfo,sfo81TrentSherfield,,,,,,,,,,,,,,,,,,,,,
61,sfo,sfo41BusterSkrine,,,,,,,,,,,,,,,,,,,,,
