,Acronym,Name,Wins,Losses,PointsFor,PointsAgainst,YardsFor,YardsAgainst,PassingYards,PassingTDS,PassingInterceptions,SackPercentage,allowedSacks,RushingAttempts,RushingYards,DefensiveInterceptions,Fumbles,DefensiveSacks
0,sfo,San Francisco 49ers,12,8,427,365,6387,5270,4221,26,14,6.53,40,499,2166,9,22,48
1,chi,Chicago Bears,6,11,311,407,5225,5384,3207,16,20,3.89,27,475,2018,8,14,49
2,cin,Cincinnati Bengals,13,8,460,376,6145,5964,4403,36,14,7.99,52,436,1742,13,17,42
3,buf,Buffalo Bills,12,7,483,289,6493,4637,4284,36,16,9.67,58,461,2209,19,12,42
4,den,Denver Broncos,7,10,335,322,5618,5544,3593,20,9,9.59,55,455,2025,13,6,36
5,cle,Cleveland Browns,8,9,349,371,5791,5296,3320,21,14,8.61,49,485,2471,13,12,43
6,tam,Tampa Bay Buccaneers,14,5,511,353,6901,5635,5229,43,12,5.79,32,385,1672,17,16,47
7,crd,Arizona Cardinals,11,7,449,366,6352,5597,4276,27,11,6.16,39,496,2076,13,21,41
8,sdg,Los Angeles Chargers,9,8,474,459,6634,6122,4800,38,15,5.21,33,423,1834,11,19,35
9,kan,Kansas City Chiefs,14,6,480,364,6746,6272,4791,37,13,6.88,40,431,1955,15,18,31
10,clt,Indianapolis Colts,9,8,451,365,5901,5834,3361,27,8,5.72,36,499,2540,19,18,33
11,dal,Dallas Cowboys,12,6,530,358,6919,5967,4800,40,11,5.76,33,473,2119,26,13,41
12,mia,Miami Dolphins,9,8,341,373,5219,5738,3651,21,14,7.46,44,442,1568,14,14,48
13,phi,Philadelphia Eagles,9,9,444,385,6119,5590,3404,20,10,5.03,32,550,2715,12,13,29
14,atl,Atlanta Falcons,7,10,313,459,5164,6194,3713,20,15,4.43,28,393,1451,12,14,18
15,nyg,New York Giants,4,13,258,416,4884,6032,3196,15,20,6.11,40,419,1688,15,12,34
16,jax,Jacksonville Jaguars,3,14,253,457,5191,6002,3436,12,17,4.73,30,392,1755,7,8,32
17,nyj,New York Jets,4,13,310,504,5208,6760,3541,20,20,5.13,28,380,1667,7,13,33
18,det,Detroit Lions,3,13,325,467,5484,6456,3598,23,14,6.84,37,427,1886,11,10,30
19,gnb,Green Bay Packers,13,5,450,371,6215,5579,4315,39,7,6.02,38,446,1900,18,10,39
20,car,Carolina Panthers,5,12,304,404,5081,5201,3239,14,21,8.08,53,455,1842,9,14,39
21,nwe,New England Patriots,10,8,462,303,6008,5284,3857,24,13,7.91,47,489,2151,23,11,36
22,rai,Las Vegas Raiders,10,8,374,439,6184,5732,4567,23,14,5.79,31,414,1617,6,13,35
23,ram,Los Angeles Rams,16,5,460,372,6325,5863,4642,41,18,5.35,38,420,1683,19,15,50
24,rav,Baltimore Ravens,8,9,387,392,6440,6178,3961,21,18,5.93,40,517,2479,9,8,34
25,nor,New Orleans Saints,9,8,364,335,5177,5410,3186,29,13,4.83,31,510,1991,18,13,46
26,sea,Seattle Seahawks,7,10,395,366,5506,6445,3432,30,7,8.53,57,413,2074,11,9,34
27,pit,Pittsburgh Steelers,9,8,343,398,5361,6139,3778,23,11,4.40,31,411,1583,13,18,55
28,htx,Houston Texans,4,13,280,452,4727,6535,3305,21,15,8.50,46,420,1422,17,16,32
29,oti,Tennessee Titans,12,6,419,354,5822,5607,3418,22,14,5.92,33,551,2404,16,13,43
30,min,Minnesota Vikings,8,9,425,426,6168,6522,4238,34,7,3.52,23,449,1930,16,13,51
31,was,Washington Football Team,7,10,335,434,5502,6108,3441,21,15,7.25,43,477,2061,11,9,38
