"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Jalyn","Armour-Davis","Alabama","Jr","6010","197","948","3078","7448","1.52","4.39","14","34.5","","",""
"Kalon","Barnes","Baylor","Sr","5114","183","978","3168","7668","1.49","4.23","","","","",""
"Andrew","Booth Jr.","Clemson","Jr","6000","194","938","3148","7678","","","","","","",""
"Montaric","Brown","Arkansas","Sr","6000","196","948","3128","7600","1.59","4.55","","","","",""
"Coby","Bryant","Cincinnati","Sr","6010","193","938","3058","7358","1.59","4.54","17","","","",""
"Tariq","Castro-Fields","Penn State","Sr","6010","197","868","3068","7600","1.52","4.38","","","","",""
"Qwynnterrio","Cole","Louisville","Sr","6000","206","1038","3178","7668","","","16","","","",""
"Decobie","Durant","South Carolina State","Sr","5100","180","868","3068","7268","1.52","4.38","","","","",""
"Kaiir","Elam","Florida","Jr","6014","191","878","3078","7648","1.52","4.39","","","","",""
"Martin","Emerson","Mississippi State","Jr","6020","201","1018","3348","7948","1.58","4.53","","","","",""
"Akayleb","Evans","Missouri","Sr","6020","197","868","3200","7468","1.57","4.46","","36","1009","",""
"Damarcus","Fields","Texas Tech","Sr","6000","193","918","3128","7538","1.57","4.48","","34.5","","",""
"Cordale","Flott","LSU","Jr","6004","175","800","3018","7578","","","","","","",""
"Ahmad","Gardner","Cincinnati","Jr","6030","190","958","3348","7938","1.54","4.41","","","","",""
"Mario","Goodrich","Clemson","Sr","6000","176","918","3058","7458","1.58","4.52","","","","",""
"Kyler","Gordon","Washington","Jr","5114","194","928","3100","7468","1.58","4.52","","","","",""
"Vincent","Gray","Michigan","Jr","6020","192","928","3238","7818","1.59","4.54","","","","",""
"Josh","Jobe","Alabama","Sr","5114","182","928","3258","7638","","","","","","",""
"Jack","Jones","Arizona State","Sr","5110","171","878","3068","7400","1.58","4.51","","","","",""
"Marcus","Jones","Houston","Sr","5080","174","878","2878","","","","","","","",""
"Derion","Kendrick","Georgia","Sr","6000","194","918","3100","7438","","","","","","",""
"Chase","Lucas","Arizona State","Sr","5110","180","928","3178","7448","1.57","4.48","","39","1008","",""
"Damarri","Mathis","Pittsburgh","Sr","5110","196","828","3178","7748","1.52","4.39","","","","",""
"Zyon","McCollum","Sam Houston State","Sr","6020","199","900","3068","7368","1.51","4.33","","39.5","1100","3.94","6.48"
"Roger","McCreary","Auburn","Sr","5110","190","900","2878","7058","1.57","4.5","","","","",""
"Trent","McDuffie","Washington","Jr","5110","193","868","2968","7238","1.56","4.44","","","","",""
"Chris","Steele","Southern Cal","Jr","6000","187","868","3118","7468","1.57","4.48","","37.5","1006","",""
"Derek","Stingley Jr.","LSU","Jr","6000","190","958","3058","7418","","","","","","",""
"Alontae","Taylor","Tennessee","Sr","6000","199","918","3228","7468","1.53","4.36","","34.5","1008","",""
"Cam","Taylor-Britt","Nebraska","Sr","5110","196","1000","3148","7500","1.52","4.38","","","","",""
"Isaac","Taylor-Stuart","Southern Cal","Jr","6014","201","900","3148","7728","1.55","4.42","","","1003","",""
"Joshua","Thompson","Texas","Sr","5114","194","938","3078","7478","1.54","4.4","","","","",""
"Jermaine","Waller","Virginia Tech","Sr","6000","180","900","3118","7368","1.63","4.68","","","","",""
"Jaylen","Watson","Washington State","Sr","6020","197","958","3228","7648","1.58","4.51","18","","","",""
"Sam","Webb","Missouri Western","Sr","6004","201","900","3200","7800","1.57","4.48","14","","","4.39","7.38"
"Damarion","Williams","Houston","Sr","5100","182","868","2958","7258","","","","34.5","910","",""
"Joshua","Williams","Fayetteville State","Sr","6030","195","948","3278","7768","1.58","4.53","","36","1004","",""
"J.T.","Woods","Baylor","Sr","6020","195","848","3238","7738","1.55","4.36","","39.5","1008","",""
"Tariq","Woolen","UTSA","Sr","6040","205","918","3358","7858","1.48","4.26","","42","","",""
"Mykael","Wright","Oregon","Jr","5104","173","900","3048","7468","1.59","4.57","","","","",""
