"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Christopher","Allen","Alabama","Sr","6034","241","1000","3300","8028","","","","","","",""
"Amare","Barno","Virginia Tech","Sr","6045","246","900","3400","8058","1.54","4.36","","37","1011","4.45",""
"Nik","Bonitto","Oklahoma","Jr","6030","248","938","3248","7868","1.59","4.54","","35.5","1000","4.23","7.07"
"Arnold","Ebiketie","Penn State","Sr","6023","250","1028","3418","8168","","","21","38","1008","",""
"Kingsley","Enagbare","South Carolina","Sr","6036","258","1058","3468","8300","1.72","4.87","","36.5","909","",""
"Jeffrey","Gunter","Coastal Carolina","Sr","6043","258","928","3300","7978","1.64","4.7","","35.5","1002","4.35","7.21"
"Logan","Hall","Houston","Jr","6061","283","958","3268","7918","1.68","4.88","","30","","4.44","7.25"
"Aidan","Hutchinson","Michigan","Jr","6065","260","1028","3218","7818","1.62","7.74","","36","909","4.15","6.73"
"Drake","Jackson","Southern Cal","Jr","6025","254","1018","3400","8258","","","","36.5","1007","",""
"Tyree","Johnson","Texas A&M","Sr","6024","248","968","3078","7628","","","21","","","",""
"Jermaine","Johnson II","Florida State","Sr","6045","254","9.78","3400","8158","1.6","4.58","","32","1005","",""
"George","Karlaftis","Purdue","Jr","6036","266","1028","3258","7878","","","21","38","1001","4.36",""
"Boye","Mafe","Minnesota","Sr","6036","261","978","3258","8068","1.6","4.53","","38","1005","",""
"DeAngelo","Malone","Western Kentucky","Sr","6032","243","978","3318","7938","","","23","","","",""
"Jeremiah","Moon","Florida","Sr","6046","249","1018","3500","8358","1.66","4.76","","40.5","1101","4.55","7.09"
"David","Ojabo","Michigan","Jr","6040","250","900","3348","8068","1.64","4.55","","35","1002","4.45",""
"Esezi","Otomewo","Minnesota","Sr","6052","282","900","3448","8138","","","","","","",""
"Josh","Paschal","Kentucky","Sr","6025","268","958","3268","7900","1.62","4.77","","37.5","1003","",""
"Dominique","Robinson","Miami (OH)","Sr","6047","253","968","3328","8178","1.67","4.72","25","41","1001","",""
"Myjai","Sanders","Cincinnati","Sr","6052","228","928","3258","7978","1.62","4.67","","33","1000","4.37",""
"Tyreke","Smith","Ohio State","Jr","6033","254","1028","3328","8048","1.67","4.82","","34","909","",""
"Kayvon","Thibodeaux","Oregon","Jr","6040","254","968","3318","7948","1.59","4.58","27","","","",""
"Cameron","Thomas","San Diego State","Jr","6041","267","1028","3248","7878","","","24","","","",""
"Sam","Williams","Mississippi","Sr","6035","261","978","3318","8028","1.61","4.46","","32.5","1003","",""
"Tre","Williams","Arkansas","Sr","6041","252","948","3378","8068","1.73","5.08","","26.5","808","",""
