"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Logan","Bruss","Wisconsin","Sr","6050","309","1068","3318","7968","","5.32","","31","0904","4.55","7.57"
"J'Atyre","Carter","Southern","Sr","6033","311","1028","3358","7948","","5.13","","30","0900","4.90","7.84"
"Bill","Dunkle","San Diego State","Jr","6047","328","1028","3358","8068","","5.44","25","26","0711","4.91","7.97"
"Joshua","Ezeudu","North Carolina","Jr","6042","308","0948","3400","8228","","5.19","","28.5","0809","4.56","7.83"
"Kenyon","Green","Texas A&M","Jr","6037","323","1038","3418","8338","","5.24","20","26","0806","5.12",""
"Marquis","Hayes","Oklahoma","Sr","6047","318","0878","3478","8348","","5.30","","23.5","0806","",""
"Chasen","Hines","LSU","Sr","6026","327","0978","3378","8138","","5.22","","30.5","0900","",""
"Ed","Ingram","LSU","Sr","6032","307","1000","3358","8178","","5.02","","20.5","0806","4.76","7.81"
"Zion","Johnson","Boston College","Sr","6025","312","1058","3400","8238","","5.18","32","32","0904","4.46","7.38"
"Cade","Mays","Tennessee","Jr","6046","311","1000","3418","8228","","5.24","","26","0806","4.71","7.57"
"Marcus","McKethan","North Carolina","Sr","6064","340","1048","3548","8578","","5.31","27","27.5","0902","4.99","7.81"
"Dylan","Parham","Memphis","Jr","6025","311","1028","3318","7878","","4.93","","26.5","0900","4.70","7.78"
"Tyrese","Robinson","Oklahoma","Sr","6027","317","0968","3318","7868","","5.25","","22.5","0804","4.94","8.35"
"Jamaree","Salyer","Georgia","Sr","6030","321","1000","3358","8028","","","31","","","",""
"Justin","Shaffer","Georgia","Sr","6037","314","1000","3328","8058","","5.14","","25.5","0811","",""
"Lecitus","Smith","Virginia Tech","Jr","6032","314","0958","3178","7868","","5.18","23","","0803","4.78","7.88"
"Cole","Strange","Chattanooga","Sr","6047","307","1018","3300","7968","","5.03","31","28","1000","4.50","7.44"
"Andrew","Stueber","Michigan","Sr","6065","325","1000","3418","7978","","","","24.5","0805","4.90","7.94"
"Nick","Zakelj","Fordham","Sr","6061","316","0978","3248","7838","","5.13","27","28.5","0902","4.71","7.75"
