"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Troy","Anderson","Montana State","Sr","6034","243","928","3218","7738","1.56","4.42","","36","1008","",""
"Brian","Asamoah","Oklahoma","Jr","6002","226","1000","3258","7900","1.6","4.56","","36.5","1004","",""
"Darrian","Beavers","Cincinnati","Sr","6036","237","968","3238","8058","","","","36.5","1005","","6.91"
"Terrel","Bernard","Baylor","Sr","6007","224","958","3028","7300","","","22","35.5","1003","4.25","7.03"
"Darien","Butler","Arizona State","Sr","5101","221","938","3018","7428","","","","","","","7.47"
"Chance","Campbell","Mississippi","Sr","6023","232","1018","3128","7418","1.6","4.57","","39.5","1007","",""
"Leo","Chenal","Wisconsin","Jr","6025","250","968","3100","7548","1.6","4.53","","40.5","1008","",""
"Damone","Clark","LSU","Sr","6024","239","968","3300","7848","1.6","4.57","","36.5","1007","","7.12"
"Nakobe","Dean","Georgia","Jr","5112","229","918","3178","7618","","","","","","",""
"Jojo","Domann","Nebraska","Sr","6012","228","948","3038","7448","1.62","4.62","","34.5","911","",""
"Jeremiah","Gemmel","North Carolina","Sr","6006","226","928","3128","7658","","","","","","",""
"Isaiah","Graham-Mobley","Boston College","Sr","6010","230","928","3200","7638","1.61","4.63","","34.5","1004","",""
"Jake","Hansen","Illinois","Sr","6007","238","968","3238","7758","","","21","","","",""
"Aaron","Hansford","Texas A&M","Sr","6022","239","1018","3238","7848","","","24","","","",""
"Christian","Harris","Alabama","Jr","6004","226","958","3218","7668","1.58","4.44","","34.5","1100","",""
"D'Marco","Jackson","Appalachian State","Sr","6006","233","928","3248","7778","1.61","4.55","","33","1005","",""
"Nate","Landman","Colorado","Sr","6024","236","900","3078","7600","1.69","4.86","","36.5","911","",""
"Devin","Lloyd","Utah","Sr","6026","237","948","3300","8028","1.63","4.66","25","35","1006","",""
"Jesse","Luketa","Penn State","Sr","6027","253","1038","3258","7868","1.68","4.89","","37.5","906","",""
"Zakoby","McClain","Auburn","Sr","5113","228","968","3168","7528","1.63","4.69","","33","909","",""
"Micah","McFadden","Indiana","Sr","6011","240","948","3128","7468","","","21","","","",""
"Chad","Muma","Wyoming","Jr","6026","239","1000","3158","7568","1.61","4.63","27","40","1009","4.28","7.06"
"Malcolm","Rodriguez","Oklahoma State","Sr","5110","232","958","3018","7318","1.6","4.52","","39.5","1000","",""
"Mike","Rose","Iowa State","Sr","6037","245","1018","3328","7868","","","","34","1001","",""
"Josh","Ross","Michigan","Sr","6003","227","968","3048","7428","1.67","4.79","","31","901","",""
"Jack","Sanborn","Wisconsin","Sr","6015","234","958","3048","7418","1.65","4.73","20","34.5","906","",""
"Nephi","Sewell","Utah","Sr","5114","226","848","2938","7100","1.62","4.67","","32","1000","4.33","7.01"
"Brandon","Smith","Penn State","Jr","6034","250","1028","3458","8148","1.6","4.52","","37.5","1008","",""
"Baylon","Spector","Clemson","Sr","6001","233","1000","3148","7558","1.61","4.6","","36","1002","",""
"Channing","Tindall","Georgia","Sr","6017","230","1058","3278","7718","1.55","4.47","","42","1009","",""
"Quay","Walker","Georgia","Sr","6036","241","0928","3258","7978","1.6","4.52","","32","1002","",""
