"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Blaise","Andries","Minnesota","Sr","6062","308","0978","3378","8018","","5.10","","30.5","0810","4.68","7.84"
"Ben","Brown","Mississippi","Sr","6051","312","1028","3438","8168","","","","","","",""
"Spencer","Burford","UTSA","Sr","6041","304","0948","3468","8200","","5.19","","27.5","0809","4.73",""
"Charles","Cross","Mississippi State","rSo","6046","307","1068","3448","8100","","4.95","","26","0904","4.61","7.88"
"Myron","Cunningham","Arkansas","Sr","6052","320","1038","3448","8078","","5.38","","20","0802","5.16","8.50"
"Austin","Deculus","LSU","Sr","6050","321","0928","3438","8248","","5.08","","28.5","0901","",""
"Kellen","Diesch","Arizona State","Sr","6071","301","0948","3228","7838","","4.89","","32.5","0902","4.43","7.77"
"Ikem","Ekwonu","NC State","Jr","6040","310","1028","3400","8428","","4.93","","29","0900","4.73","7.82"
"Obinna","Eze","TCU","Jr","6064","321","0978","3618","8568","","5.17","18","27.5","0808","5.08","8.20"
"Daniel","Faalele","Minnesota","Sr","6080","384","1100","3518","8518","","","24","","","",""
"Luke","Goedeke","Central Michigan","Sr","6050","312","0968","3228","7978","","","26","","","",""
"Braxton","Jones","Southern Utah","Sr","6052","310","1028","3538","8348","","4.97","","25.5","0900","4.84",""
"Darian","Kinnard","Kentucky","Sr","6053","322","1128","3500","8328","","5.31","","25","0803","4.96","8.11"
"Vederian","Lowe","Illinois","Sr","6045","314","1038","3538","8378","","5.22","","25.5","0803","4.71","7.83"
"Abraham","Lucas","Washington State","Sr","6063","315","1048","3378","8168","","4.92","24","27","0811","4.40","7.25"
"Max","Mitchell","Louisiana","Sr","6062","307","1000","3348","8038","","5.32","","25","0810","4.65","8.09"
"Thayer","Munford","Ohio State","Sr","6056","328","1018","3518","8458","","5.39","","22","0808","",""
"Evan","Neal","Alabama","Jr","6074","337","1018","3400","8300","","","","","","",""
"Chris","Paul","Tulsa","Sr","6037","323","0938","3358","8158","","4.89","","27","0901","4.83","7.74"
"Trevor","Penning","Northern Iowa","Sr","6071","325","1018","3428","8278","","4.89","","28","0903","4.62","7.25"
"Nicholas","Petit-Frere","Ohio State","Jr","6051","316","1068","3358","8168","","5.14","","24.5","0807","",""
"Bernhard","Raimann","Central Michigan","Sr","6061","303","1028","3278","8018","","5.05","30","30.5","0909","4.49","7.46"
"Sean","Rhyan","UCLA","Jr","6045","321","1118","3238","7928","","5.25","","33.5","0902","4.81","7.55"
"Dare","Rosenthal","Kentucky","Jr","6066","290","0900","3348","7938","","4.88","","","","",""
"Andrew","Rupich","Culver-Stockton","Sr","6060","318","0948","3278","7738","","5.31","","27.5","0900","",""
"Tyler","Smith","Tulsa","rSO","6045","324","1068","3400","8318","","5.02","","27.5","0809","4.65","7.78"
"Luke","Tenuta","Virginia Tech","Jr","6080","319","1018","3278","7968","","5.41","","26","0808","4.77",""
"Zachary","Thomas","San Diego State","Sr","6047","308","1028","3378","8248","","4.96","21","22.5","0811","4.65","7.40"
"Zach","Tom","Wake Forest","Sr","6042","304","1038","3328","8038","","4.94","","33","0910","4.47","7.32"
"Cordell","Volson","North Dakota State","Sr","6061","315","1048","3378","8118","","5.27","25","25","0808","4.93","8.31"
"Matt","Waletzko","North Dakota","Sr","6075","312","1028","3618","8558","","5.03","","30","0905","",""
"Rasheed","Walker","Penn State","Jr","6055","313","1058","3358","8048","","","","","","",""
