"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Jack","Coan","Notre Dame","Sr","6032","218","0948","3118","7478","","4.90","","33","907","",""
"Matt","Corral","Mississippi","Jr","6015","212","0958","3068","7448","","","","","","",""
"Dustin","Crum","Kent State","Sr","6010","210","0938","3168","7738","","4.75","","","","",""
"Kaleb","Eleby","Western Michigan","Jr","6006","208","0928","3058","7568","","","","25.5","903","",""
"Sam","Howell","North Carolina","Jr","6005","218","0918","3068","7548","","","","","","",""
"Cole","Kelley","SE Louisiana","Sr","6073","249","0978","3368","8128","","","","","","",""
"D'Eriq","King","Miami (FL)","Sr","5086","196","0928","2878","7118","","","","","","",""
"EJ","Perry","Brown","Sr","6015","211","0900","3200","7548","","4.60","","34.5","1003","",""
"Kenny","Pickett","Pittsburgh","Sr","6032","217","0848","3078","7368","","4.73","","33.5","1001","",""
"Brock","Purdy","Iowa State","Sr","6032","212","0928","2900","7018","","4.84","","27","","",""
"Desmond","Ridder","Cincinnati","Jr","6033","211","1000","3268","7900","","4.52","","36","1007","",""
"Carson","Strong","Nevada","Jr","6033","226","0918","3200","7600","","","","","","",""
"Skylar","Thompson","Kansas State","Sr","6033","217","0858","3100","7458","","4.91","","31","904","",""
"Malik","Willis","Liberty","Sr","6017","219","0948","3168","7738","","","","","","",""
"Bailey","Zappe","Western Kentucky","Sr","6004","215","0968","3138","7468","","4.88","","30","901","",""
