"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Tyler","Allgeier","BYU","Jr","5106","224","0958","3148","7448","","4.60","","33","1000","",""
"Tyler","Badie","Missouri","Sr","5080","197","0918","2938","7138","","4.45","","33.5","1001","",""
"Greg","Bell","San Diego State","Sr","5104","201","0938","3078","7300","","","17","31","1000","",""
"Max","Borghi","Washington State","Sr","5093","210","0918","2958","7048","","","20","","","",""
"Kennedy","Brooks","Oklahoma","Jr","5105","209","0758","3028","7468","","4.59","","31","1000","",""
"Leddie","Brown","West Virginia","Sr","6001","213","0968","3138","7628","","4.64","","30","0910","",""
"Ty","Chandler","North Carolina","Sr","5112","204","0900","3218","7558","","4.38","","31","1001","",""
"Snoop","Conner","Mississippi","Jr","5101","222","0928","3028","7358","","4.59","25","29.5","0910","",""
"James","Cook","Georgia","Sr","5110","199","0938","3068","7628","","4.42","","33","1004","",""
"Jashaun","Corbin","Florida State","Jr","5111","202","0948","3148","7600","","","","","","",""
"Ty","Davis-Price","LSU","Jr","6003","211","0928","3068","7558","","4.48","","30","0909","",""
"Jerrion","Ealy","Mississippi","Jr","5081","189","0848","2918","7228","","4.52","","34.5","1008","",""
"Trestan","Ebner","Baylor","Sr","5106","206","0848","2968","7248","","4.43","","30","","",""
"Jerome","Ford","Cincinnati","Jr","5104","210","0918","3058","7328","","4.46","","31","0910","",""
"Tyler","Goodson","Iowa","Jr","5090","197","0900","2948","7128","","4.42","","36.5","1003","",""
"Breece","Hall","Iowa State","Jr","5112","217","0968","3128","7578","","4.39","","40","1006","",""
"Kevin","Harris","South Carolina","Jr","5097","221","0928","3128","7668","","","21","38.5","1006","",""
"Hassan","Haskins","Michigan","Sr","6016","228","0928","3168","7568","","","27","","","",""
"Keaontay","Ingram","Southern Cal","Sr","5116","221","0900","3148","7478","","4.53","","34.5","1002","",""
"Zonovan","Knight","NC State","Jr","5107","209","0928","3048","7348","","4.58","","31","0906","",""
"Sincere","McCormick","UTSA","Jr","5084","205","0918","2978","7348","","4.60","","33.5","0908","",""
"Isaih","Pacheco","Rutgers","Sr","5103","216","0928","3048","7378","","4.37","","33","0910","",""
"Dameon","Pierce","Florida","Sr","5095","218","0938","3068","7358","","4.59","21","34.5","0911","",""
"D'Vonte","Price","FIU","Sr","6013","210","0938","3148","7668","","4.38","","34","0911","",""
"Ronnie","Rivers","Fresno State","Sr","5074","195","0848","2800","6900","","4.60","","36.5","0911","",""
"Brian","Robinson","Alabama","Sr","6015","225","0968","3178","7638","","4.53","","30","0911","",""
"Abram","Smith","Baylor","Sr","5115","213","0828","3028","7238","","","","","","",""
"Isaiah","Spiller","Texas A&M","Jr","6003","217","0858","3168","7418","","","","30","0906","",""
"Pierre","Strong Jr.","South Dakota State","Sr","5113","207","0928","3178","7578","","4.37","","36","1004","",""
"C.J.","Verdell","Oregon","Sr","5076","194","0948","2928","7228","","","","29.5","0910","",""
"Kenneth","Walker III","Michigan State","Jr","5092","211","0948","3038","7300","","4.38","","34","1002","",""
"Jaylen","Warren","Oklahoma State","Sr","5080","204","0928","2978","7068","","4.55","","31.5","0911","",""
"Rachaad","White","Arizona State","Jr","6003","214","0968","3128","7538","","4.48","","38","1005","",""
"Zamir","White","Georgia","Jr","5116","214","0848","3148","7458","","4.40","","33.5","1008","",""
"ZaQuandre","White","South Carolina","Sr","6001","206","0900","3068","7368","","","","","","",""
"Kyren","Williams","Notre Dame","Jr","5092","194","0900","2858","6978","","4.65","","32","0908","",""
