"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Tycen","Anderson","Toledo","Sr","6020","209","1018","3300","7878","1.54","4.36","","35.5","1003","4.28","6.64"
"Markquese","Bell","Florida A&M","Sr","6020","212","938","3238","7618","1.51","4.41","","36.5","1003","4.46",""
"Dane","Belton","Iowa","JR","6010","205","918","3100","7558","1.56","4.43","","36.5","1003","4.24","7.01"
"Bubba","Bolden","Miami (FL)","Jr","6020","209","900","3138","7678","1.57","4.47","","","908","",""
"Jaquan","Brisker","Penn State","Sr","6010","199","978","3168","7600","1.57","4.49","22","34.5","1004","",""
"Percy","Butler","Louisiana","Sr","6000","194","918","3158","7658","1.55","4.36","","31.5","1003","",""
"Lewis","Cine","Georgia","Jr","6020","199","938","3228","7800","1.56","4.37","","36.5","1101","",""
"Bryan","Cook","Cincinnati","Sr","6010","206","848","3178","7800","","","","","","",""
"Yusuf","Corker","Kentucky","Sr","6000","203","900","3100","7478","","","23","","","",""
"Nick","Cross","Maryland","Jr","6000","212","900","3148","7600","1.5","4.34","","37","1010","",""
"Kyle","Hamilton","Notre Dame","Jr","6040","220","918","3300","7968","1.6","4.59","","38","1011","4.32","6.9"
"Kolby","Harvell-Peel","Oklahoma State","Jr","6000","213","968","3118","7518","","","21","","","",""
"Daxton","Hill","Michigan","Jr","6000","191","948","3228","7928","1.52","4.38","","33.5","1001","4.06","6.57"
"Kerby","Joseph","Illinois","Sr","6010","203","1028","3300","7948","","","","38.5","1003","",""
"Quentin","Lake","UCLA","Sr","6010","201","918","3128","7628","1.61","4.59","","","","",""
"Verone","McKinley","Oregon","rJR","5100","198","918","3058","7268","","","16","35","1000","",""
"Smoke","Monday","Auburn","Sr","6020","207","918","3248","7868","1.58","4.52","","","1004","","7"
"Leon","O'Neal","Texas A&M","Jr","6004","204","1028","3168","7658","","","15","35","1005","","6.89"
"Jalen","Pitre","Baylor","Sr","5110","198","900","3058","7348","","","16","35","","4.18","6.74"
"Juanyeh","Thomas","Georgia Tech","Sr","6010","212","968","3238","7818","1.59","4.55","17","","1002","",""
"Delarrin","Turner-Yell","Oklahoma","Sr","5100","197","1000","3168","7628","1.57","4.47","","","1002","",""
