"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Austin","Allen","Nebraska","Jr","6075","253","0948","3358","8078","","4.83","","34","10'1","4.26","7.00"
"Chase","Allen","Iowa State","Sr","6060","251","0958","3418","8248","","","","33.5","9'9","4.43","7.03"
"Daniel","Bellinger","San Diego State","Sr","6047","253","1018","3248","7658","","4.63","22","34.5","10'5","4.47","7.05"
"Grant","Calcaterra","SMU","Sr","6037","241","1000","3328","7978","","4.62","20","","","",""
"Greg","Dulcich","UCLA","Sr","6040","243","0978","3338","8068","","4.70","16","34","10'2","4.37","7.05"
"Jake","Ferguson","Wisconsin","Jr","6047","250","0948","3258","7728","","4.81","15","31.5","9'10","4.48","7.03"
"Jeremiah","Hall","Oklahoma","Sr","6014","239","1048","3158","7658","","4.96","19","29","9'3","4.62","7.43"
"Peyton","Hendershot","Indiana","Sr","6041","250","0900","3258","8018","","4.80","","32.5","9'9","4.25",""
"Connor","Heyward","Michigan State","Sr","5111","233","0948","3178","7628","","4.72","","32.5","","",""
"Curtis","Hodges","Arizona State","Sr","6076","257","0958","3448","8328","","4.85","","34.5","9'9","4.28","7.14"
"Charlie","Kolar","Iowa State","Jr","6064","252","1000","3448","8118","","","","","","",""
"Isaiah","Likely","Coastal Carolina","Sr","6044","245","1000","3178","7818","","","","36","","4.57",""
"Trey","McBride","Colorado State","Sr","6035","246","1018","3248","7858","","","18","33","9'9","",""
"James","Mitchell","Virginia Tech","Sr","6040","249","0968","3278","7768","","","","","","",""
"Chigoziem","Okonkwo","Maryland","Sr","6024","238","0968","3268","7818","","4.52","","35.5","","",""
"Cade","Otton","Washington","Sr","6050","247","0948","3268","7948","","","","","","",""
"Teagan","Quitoriano","Oregon State","Jr","6056","258","0938","3368","7900","","","22","","","",""
"Jeremy","Ruckert","Ohio State","Sr","6054","250","1018","3268","7918","","","19","","","",""
"Cole","Turner","Nevada","Sr","6064","249","0968","3300","7828","","4.76","17","27","10'","4.41","7.06"
"Jelani","Woods","Virginia","Jr","6071","259","0928","3418","8200","","4.61","24","","","",""
"Jalen","Wydermyer","Texas A&M","Jr","6037","255","0968","3318","8100","","","","","","",""
