"FIRST NAME","LAST NAME","SCHOOL","CLASS","HEIGHT","WEIGHT","HAND","ARM","WING","10 SPLT","40 TIME","BENCH","VERT","BROAD","20S","3-CONE"
"Calvin","Austin","Memphis","Jr","5076","170","0928","3000","7300","","4.32","","39","11'3","4.07",""
"Kevin","Austin Jr.","Notre Dame","Sr","6023","200","0900","3278","7928","","4.43","","39","11'","4.15","6.71"
"David","Bell","Purdue","Jr","6007","212","0928","3178","7658","","4.65","","33","9'10","4.57","7.14"
"Slade","Bolden","Alabama","Jr","5105","199","0968","0968","7218","","4.66","","32","9'8","",""
"Treylon","Burks","Arkansas","Jr","6020","225","0978","3348","7918","","4.55","","33","10'2","","7.28"
"Dai'Jean","Dixon","Nicholls State","Sr","6025","200","0948","3238","7838","","","","","","",""
"Jahan","Dotson","Penn State","Sr","5105","178","0948","3068","7400","","4.43","","36","10'1","","7.28"
"Romeo","Doubs","Nevada","Sr","6017","201","1000","3128","7738","","","","","","",""
"Dontario","Drummond","Mississippi","Sr","6007","215","0928","3148","7638","","4.65","","34","10'2","",""
"Erik","Ezukanma","Texas Tech","Jr","6017","209","0938","3348","7828","","","","36.5","10'6","4.38",""
"Ty","Fryfogle","Indiana","Sr","6011","204","0968","3248","7458","","4.53","","39","10'7","",""
"Danny","Gray","SMU","Sr","5117","186","0958","3178","7678","","4.33","","34","10'6","",""
"Josh","Johnson","Tulsa","Sr","5104","183","0858","3178","7378","","","14","","","",""
"Johnny","Johnson III","Oregon","Sr","5117","197","0968","3048","7418","","4.60","","32","10'1","4.54","7.21"
"Velus","Jones Jr.","Tennessee","Sr","5116","204","0968","3078","7348","","4.31","","33","10'1","",""
"Drake","London","Southern Cal","Jr","6037","219","0938","3300","7768","","","","","","",""
"Bo","Melton","Rutgers","Sr","5110","189","0900","3128","7648","","4.34","","38","10'1","","6.98"
"John","Metchie III","Alabama","Jr","5112","187","0928","3058","7338","","","","","","",""
"Skyy","Moore","Western Michigan","Jr","5095","195","1028","3100","7358","","4.41","","34.5","10'5","4.32","7.13"
"Jalen","Nailor","Michigan State","Jr","5112","186","0918","3028","7300","","4.50","","38","10'8","4.28","7.03"
"Chris","Olave","Ohio State","Sr","6003","187","0948","3118","7318","","4.39","","32","10'4","",""
"Kyle","Philips","UCLA","Jr","5112","189","0858","2958","7100","","4.58","","33.5","10'4","",""
"George","Pickens","Georgia","Jr","6032","195","0868","3238","7738","","4.47","","33","10'5","",""
"Alec","Pierce","Cincinnati","Sr","6031","211","0900","3300","7848","","4.33","","40.5","10'9","4.28","7.13"
"Makai","Polk","Mississippi State","rSo","6031","195","0948","3228","7778","","4.59","","31","9'11","4.36",""
"Charleston","Rambo","Miami (FL)","Sr","6005","177","0968","3200","7648","","4.57","","33.5","9'10","",""
"Reggie","Roberson Jr.","SMU","Sr","5110","192","0948","3258","7828","","","","","9'6","",""
"Wan'Dale","Robinson","Kentucky","Jr","5080","178","0900","2758","6758","","4.44","","34.5","9'10","",""
"Justyn","Ross","Clemson","Jr","6035","205","0958","3218","7778","","","","","","",""
"Braylon","Sanders","Mississippi","Sr","6001","194","1000","3148","7468","","4.48","","34.5","10'1","",""
"Khalil","Shakir","Boise State","Sr","5117","196","0948","2900","7038","","4.43","","34.5","10'4","4.21","7.28"
"Tyquan","Thornton","Baylor","Sr","6023","181","0828","3318","7928","","4.28","","36.5","10'10","",""
"Jalen","Tolbert","South Alabama","Sr","6011","194","1000","3228","7638","","4.49","","36","10'3","","7.08"
"Tre","Turner","Virginia Tech","Sr","6013","184","0848","3068","7428","","4.51","","27","9'5","4.53","7.45"
"Christian","Watson","North Dakota State","Sr","6041","208","1018","3248","7758","","4.36","","38.5","11'4","",""
"Isaiah","Weston","Northern Iowa","Sr","6034","214","0948","3248","7868","","4.42","20","40","11'3","",""
"Devon","Williams","Oregon","rJR","6050","210","0978","3418","8100","","4.65","","33","11'1","",""
"Jameson","Williams","Alabama","Jr","6014","179","0928","3218","7578","","","","","","",""
"Garrett","Wilson","Ohio State","Jr","5116","183","0978","3200","7648","","4.38","","36","10'3","4.36",""
"Mike","Woods","Oklahoma","Jr","6011","204","0958","3300","7838","","4.55","","34.5","10'5","",""
