Name,Position,School ▲,HT,WT,Hands,Arms,Wingspan,40,Bench,3-Cone,Shuttle,Vertical,Broad
Jeff Jones Jr.,WR,Adams State,6032.0,213.0,0900,3168,7838,4.63,--,--,--,--,--
Ian Fryday,TE,Adams State,6002.0,237.0,,,,4.59,21,7.38,4.28,32.0,0900
Brandon Lewis,WR,Air Force,5084.0,175.0,0848,2968,7258,4.52,10,6.70,4.05,35.5,1001
Hawk Wimmer,IOL,Air Force,6032.0,333.0,0928,3200,7668,5.57,21,8.00,5.03,22.0,0802
Jordan Jackson,IDL,Air Force,6044.0,294.0,0938,3400,8258,4.96,18,7.20,4.40,30.5,0904
Lakota Wills,LB,Air Force,6031.0,238.0,--,--,--,4.72,--,--,--,--,--
Tre Bugg III,CB,Air Force,5111.0,189.0,0868,3028,7378,4.60,16,7.29,4.40,36.0,1000
James Jones IV,S,Air Force,6002.0,192.0,0958,3128,7628,4.56,8,7.43,4.35,36.0,1011
Jacob Goldberg,LS,Air Force,6005.0,246.0,1078,3100,7748,5.08,17,7.68,4.83,27.0,0901
Brian Robinson Jr.,RB,Alabama,6015.0,224.0,0968,3178,7828,--,--,7.33,4.59,--,--
Slade Bolden,WR,Alabama,5105.0,189.0,0968,2938,7328,4.67,11,7.01,4.03,36.0,0904
John Metchie III,WR,Alabama,5112.0,189.0,0928,3058,7438,--,--,--,--,--,--
Jameson Williams,WR,Alabama,6014.0,180.0,0938,3218,7658,--,--,--,--,--,--
Evan Neal,OT,Alabama,6074.0,345.0,1018,3400,8358,--,--,--,--,--,--
Chris Owens,IOL,Alabama,6025.0,305.0,1018,3328,8248,5.30,18,7.97,4.78,25.0,0806
Phidarian Mathis,IDL,Alabama,6042.0,310.0,1038,3458,8478,--,--,--,--,--,--
LaBryan Ray,IDL,Alabama,6042.0,286.0,0878,3300,8028,5.12,--,7.68,4.51,28.5,0808
Christopher Allen,EDGE,Alabama,6034.0,238.0,1000,3300,8118,--,--,--,--,--,--
Christian Harris,LB,Alabama,6004.0,235.0,0958,3268,7828,--,--,--,--,--,--
Jalyn Armour-Davis,CB,Alabama,6005.0,194.0,0938,3100,7558,--,--,7.26,4.37,36.5,0910
Josh Jobe,CB,Alabama,5114.0,189.0,0928,3258,7748,--,--,--,--,--,--
Daniel Wright,S,Alabama,6000.0,187.0,0948,3100,7678,4.62,--,7.35,4.52,31.5,1007
