,RosterID,No.,Acronym,Name,Position,GamesPlayed,GamesStarted,Weight,Height,College,BirthDate,Years,Age,AV
0,sfo53,53,sfo,Tyrell Adams,LB,5,0.0,230.0,6-2,West Georgia,4/11/1992,5,29.0,0.0
1,sfo11,11,sfo,Brandon Aiyuk,WR,17,16.0,200.0,6-0,Arizona St.,3/17/1998,1,23.0,7.0
2,sfo51,51,sfo,Azeez Al-Shaair,LB,13,13.0,228.0,6-2,Florida Atlantic,8/4/1997,2,24.0,7.0
3,sfo91,91,sfo,Arik Armstead,DE,17,17.0,290.0,6-7,Oregon,11/15/1993,6,28.0,8.0
4,sfo62,62,sfo,Aaron Banks,G,9,0.0,325.0,6-5,Notre Dame,9/3/1997,Rook,24.0,1.0
5,sfo17,17,sfo,Travis Benjamin,WR,10,0.0,175.0,5-10,Miami (FL),12/29/1989,9,32.0,0.0
6,sfo97,97,sfo,Nick Bosa,EDGE,17,17.0,266.0,6-4,Ohio St.,10/23/1997,2,24.0,12.0
7,sfo64,64,sfo,Jake Brendel,C,16,0.0,299.0,6-4,UCLA,9/10/1992,5,29.0,1.0
8,sfo60,60,sfo,Daniel Brunskill,OT,17,17.0,300.0,6-5,San Diego St.,1/27/1994,3,27.0,7.0
9,sfo40,40,sfo,Trenton Cannon,RB,11,0.0,185.0,5-11,Virginia St.,7/23/1994,3,27.0,0.0
10,sfo66,66,sfo,Tom Compton,T,17,7.0,315.0,6-6,South Dakota,5/10/1989,9,32.0,4.0
11,sfo13,13,sfo,River Cracraft,WR,6,0.0,198.0,6-0,Washington St.,11/1/1994,3,27.0,0.0
12,sfo43,43,sfo,Darqueze Dennard,CB,1,0.0,205.0,5-11,Michigan St.,10/10/1991,7,30.0,0.0
13,sfo82,82,sfo,Ross Dwelley,TE,17,2.0,235.0,6-5,San Diego,1/26/1995,3,26.0,0.0
14,sfo56,56,sfo,Samson Ebukam,OLB,17,11.0,245.0,6-3,East. Washington,5/9/1995,4,26.0,6.0
15,sfo45,45,sfo,Demetrius Flannigan-Fowles,DB,17,2.0,223.0,6-2,Arizona,9/4/1996,1,25.0,2.0
16,sfo55,55,sfo,Dee Ford,DE,6,0.0,252.0,6-2,Auburn,3/19/1991,7,30.0,1.0
17,sfo10,10,sfo,Jimmy Garoppolo,QB,15,15.0,225.0,6-2,Eastern Illinois,11/2/1991,7,30.0,12.0
